,id_cliente,nome,nomeSocial,genero,dataNascimento,documento,tipoDocumento
103,105,Emanuel Cunha,None,Masculino,1970-04-22,567.943.820-83,CPF
104,106,Caroline Porto,None,Feminino,1943-11-29,502.719.643-16,CPF
105,107,Emilly da Mota,None,Feminino,2000-07-17,647.182.395-91,CPF
106,108,João Gabriel Nogueira,None,Masculino,1966-10-05,126.795.084-67,CPF
107,109,Erick Fogaça,None,Masculino,1945-08-25,382.451.079-05,CPF
108,110,João Vitor Barros,None,Masculino,1998-04-02,648.279.510-20,CPF
109,111,João Felipe Souza,None,Masculino,1973-01-19,628.591.730-21,CPF
110,112,Heitor Dias,None,Masculino,1947-07-17,519.476.028-02,CPF
111,113,Felipe Jesus,None,Masculino,1956-07-01,496.513.028-60,CPF
112,114,Luiz Otávio Ramos,None,Masculino,1984-06-26,708.562.193-12,CPF
113,115,Emanuella Viana,None,Feminino,1996-07-16,657.182.934-73,CPF
114,116,Augusto Cardoso,None,Masculino,1951-01-24,497.652.803-00,CPF
115,117,Nicolas Porto,None,Masculino,1981-07-06,501.683.294-33,CPF
116,118,Maria Alice Araújo,None,Feminino,1965-09-23,613.852.709-77,CPF
117,119,João Guilherme Moreira,None,Masculino,1986-09-03,520.379.864-83,CPF
118,120,Erick Barbosa,None,Masculino,1961-04-07,264.150.873-71,CPF
119,121,Milena Dias,None,Feminino,1973-03-30,529.863.714-00,CPF
120,122,Calebe Mendes,None,Masculino,1939-05-17,063.248.517-53,CPF
121,123,Pedro Costela,None,Masculino,1976-06-09,634.120.598-89,CPF
122,124,Leonardo Fogaça,None,Masculino,1935-08-28,502.497.186-85,CPF
123,125,Gabriel Moreira,None,Masculino,1991-03-06,803.657.291-59,CPF
124,126,Kaique Carvalho,None,Masculino,1947-01-13,108.423.965-51,CPF
125,127,Luiz Miguel da Rocha,None,Masculino,1960-02-07,784.603.192-96,CPF
126,128,Clara Barros,None,Feminino,1941-05-24,731.890.465-57,CPF
127,129,João Felipe Araújo,None,Masculino,1998-03-20,874.632.915-37,CPF
128,130,Nicole Castro,None,Feminino,1946-03-18,593.814.760-39,CPF
129,131,João das Neves,None,Masculino,1984-05-01,064.839.721-13,CPF
130,132,Raquel Cavalcanti,None,Feminino,1982-07-30,984.613.250-60,CPF
131,133,Mirella Ferreira,None,Feminino,1973-07-13,612.307.984-04,CPF
132,134,Enzo Gabriel da Costa,None,Masculino,1934-03-09,846.139.752-55,CPF
133,135,Maria Fernanda Moura,None,Feminino,1934-11-21,405.978.132-05,CPF
134,136,Alícia Duarte,None,Feminino,1952-12-16,054.217.863-07,CPF
135,137,Davi Luiz Aragão,None,Masculino,1972-10-31,983.576.140-00,CPF
136,138,Elisa Mendes,None,Feminino,1975-11-15,940.726.831-40,CPF
137,139,Arthur Dias,None,Masculino,2001-10-05,671.985.324-46,CPF
138,140,Maria Cecília Oliveira,None,Feminino,1958-08-30,613.527.849-55,CPF
139,141,Ana Laura Araújo,None,Feminino,1975-11-07,654.318.907-00,CPF
140,142,Vitor Nunes,None,Masculino,1954-03-13,167.093.845-00,CPF
141,143,Joaquim Gomes,None,Masculino,1934-07-02,715.064.239-06,CPF
142,144,Ana Júlia Moreira,None,Feminino,1958-05-29,350.172.984-79,CPF
143,145,João Pedro Silva,None,Masculino,1953-09-22,721.904.368-69,CPF
144,146,Vitória Barros,None,Feminino,1989-01-12,342.176.859-55,CPF
145,147,Lívia Cardoso,None,Feminino,1995-02-14,571.342.890-79,CPF
146,148,Ana Júlia Nascimento,None,Feminino,1972-12-22,524.609.873-74,CPF
147,149,Pedro da Conceição,None,Masculino,1958-09-09,528.493.170-04,CPF
148,150,Olivia Moreira,None,Feminino,2006-01-21,405.697.281-85,CPF
149,151,João Felipe Nogueira,None,Masculino,1998-04-11,038.647.529-65,CPF
150,152,Cauê Pinto,None,Masculino,1991-06-11,302.476.195-07,CPF
151,153,João Vitor Gonçalves,None,Masculino,1947-02-28,536.871.290-12,CPF
152,154,Enzo Gabriel Barros,None,Masculino,1952-08-02,504.231.678-71,CPF
153,155,Lívia Rodrigues,None,Feminino,1985-01-11,071.496.358-57,CPF
154,156,Isabel Cardoso,None,Feminino,2002-09-03,596.824.710-01,CPF
155,157,Giovanna Ramos,None,Feminino,1973-04-18,542.931.708-04,CPF
156,158,Cauê Lopes,None,Masculino,1989-03-18,374.082.916-87,CPF
157,159,Vitor Campos,None,Masculino,1937-05-14,716.039.428-31,CPF
158,160,Maria Clara Santos,None,Feminino,2005-10-23,803.412.759-05,CPF
159,161,Nicole da Mata,None,Feminino,1947-01-12,049.265.873-00,CPF
160,162,Isadora Viana,None,Feminino,1960-08-01,230.178.569-68,CPF
161,163,Mariana da Cruz,None,Feminino,1969-10-23,786.593.012-77,CPF
162,164,Emanuelly Carvalho,None,Feminino,1978-08-15,572.381.469-91,CPF
163,165,Mirella Novaes,None,Feminino,1958-10-21,015.743.698-57,CPF
164,166,Ana Lívia Moraes,None,Feminino,1953-05-09,817.043.259-60,CPF
165,167,Gustavo da Costa,None,Masculino,1982-05-21,539.802.164-89,CPF
166,168,Cauê Freitas,None,Masculino,1985-12-02,368.204.957-65,CPF
167,169,Ana Julia da Luz,None,Feminino,1979-10-31,956.201.784-20,CPF
168,170,Pietro Barros,None,Masculino,1985-06-17,518.203.746-53,CPF
169,171,Brenda Araújo,None,Feminino,1973-12-21,673.529.048-83,CPF
170,172,Helena Almeida,None,Feminino,1943-11-06,675.483.910-48,CPF
171,173,Enzo Santos,None,Masculino,1947-09-15,160.497.832-50,CPF
172,174,Yuri Costela,None,Masculino,1977-06-13,219.874.630-13,CPF
173,175,Lucas Gabriel da Luz,None,Masculino,1980-05-26,248.369.170-69,CPF
174,176,Mariana das Neves,None,Feminino,1948-01-15,345.217.698-37,CPF
175,177,Vinicius Gomes,None,Masculino,1960-12-31,524.960.871-01,CPF
176,178,Noah Cardoso,None,Masculino,1964-07-15,743.620.981-78,CPF
177,179,Isis Dias,None,Feminino,1968-03-20,213.487.096-69,CPF
178,180,Lívia Pereira,None,Feminino,1941-01-30,479.806.523-47,CPF
179,181,Vinicius da Paz,None,Masculino,1997-06-22,498.023.657-00,CPF
180,182,João Miguel Lopes,None,Masculino,1936-01-29,538.671.904-10,CPF
181,183,Manuela Ribeiro,None,Feminino,1978-11-03,927.683.051-03,CPF
182,184,Clara Freitas,None,Feminino,1941-04-05,956.072.381-21,CPF
183,185,Breno da Cunha,None,Masculino,1951-09-15,985.430.176-10,CPF
184,186,Amanda Pinto,None,Feminino,1962-08-10,297.314.056-07,CPF
185,187,Ana Júlia Caldeira,None,Feminino,1993-01-01,561.890.274-58,CPF
186,188,Alice Viana,None,Feminino,1941-05-09,356.297.041-25,CPF
187,189,Miguel Pereira,None,Masculino,1953-07-13,825.743.016-17,CPF
188,190,Lucca das Neves,None,Masculino,1973-11-16,132.687.590-68,CPF
189,191,Nathan Nogueira,None,Masculino,1948-02-11,487.391.065-00,CPF
190,192,Gabriel Porto,None,Masculino,1991-05-09,590.142.763-70,CPF
191,193,Lara Alves,None,Feminino,1999-04-17,014.823.967-69,CPF
192,194,Kevin Ribeiro,None,Masculino,1969-02-28,931.568.702-77,CPF
193,195,João Felipe Cavalcanti,None,Masculino,1954-10-02,490.316.758-57,CPF
194,196,Eduarda Moura,None,Feminino,1995-04-25,825.431.096-33,CPF
195,197,Luiz Felipe Pinto,None,Masculino,1982-11-14,026.983.715-95,CPF
196,198,Maria Eduarda Ferreira,None,Feminino,1990-02-04,905.871.643-01,CPF
197,199,Anthony Pires,None,Masculino,1954-05-21,935.601.748-48,CPF
198,200,Emanuella Silveira,None,Feminino,1968-04-18,460.928.531-24,CPF
199,201,Gabriela Almeida,None,Feminino,1938-05-15,315.284.709-23,CPF
200,202,Camila Pires,None,Feminino,1944-12-12,120.386.957-68,CPF
201,203,Carlos Eduardo Mendes,None,Masculino,2004-10-25,215.960.387-21,CPF
202,204,Fernanda Novaes,None,Feminino,1972-12-21,156.937.240-34,CPF
203,205,Manuela da Mota,None,Feminino,1958-11-20,261.405.378-35,CPF
204,206,Mirella Moura,None,Feminino,1988-01-30,657.932.480-56,CPF
205,207,Mirella Araújo,None,Feminino,1983-05-26,569.127.830-40,CPF
206,208,Eduardo Pires,None,Masculino,1943-01-22,381.506.924-60,CPF
207,209,Marcelo Caldeira,None,Masculino,1964-10-11,572.410.683-35,CPF
208,210,Eduardo Cardoso,None,Masculino,1959-04-21,318.965.042-05,CPF
209,211,Arthur Pinto,None,Masculino,1944-03-02,270.543.689-83,CPF
210,212,Enzo Gabriel Nunes,None,Masculino,1993-11-11,342.781.605-26,CPF
211,213,André Duarte,None,Masculino,1976-03-20,918.524.067-20,CPF
212,214,Otávio Almeida,None,Masculino,1982-10-28,056.793.841-75,CPF
213,215,João Gabriel Ribeiro,None,Masculino,1986-05-23,642.801.973-69,CPF
214,216,Clara Aragão,None,Feminino,1976-01-12,961.275.340-70,CPF
215,217,Sabrina Pires,None,Feminino,1995-04-17,425.308.761-26,CPF
216,218,Ana Sophia Nascimento,None,Feminino,2006-06-20,975.218.460-01,CPF
217,219,Maria Eduarda Pinto,None,Feminino,1957-12-29,925.476.180-01,CPF
218,220,Alana Moraes,None,Feminino,1977-10-07,970.523.841-32,CPF
219,221,Samuel Moreira,None,Masculino,1941-08-27,456.912.803-33,CPF
220,222,Pedro Henrique da Rosa,None,Masculino,1965-04-13,531.769.082-02,CPF
221,223,Igor Melo,None,Masculino,1948-10-28,824.569.017-11,CPF
222,224,Guilherme Azevedo,None,Masculino,1982-09-26,279.314.086-40,CPF
223,225,Ana Vitória Vieira,None,Feminino,1995-05-25,197.086.243-22,CPF
224,226,Vicente Moraes,None,Masculino,1975-09-25,871.504.326-62,CPF
225,227,Leonardo Nogueira,None,Masculino,2005-09-11,143.756.029-61,CPF
226,228,Francisco Melo,None,Masculino,1976-06-03,395.082.746-38,CPF
227,229,Luiz Otávio Aragão,None,Masculino,1942-11-11,138.920.657-21,CPF
228,230,Cauê Barbosa,None,Masculino,1975-01-09,432.759.810-05,CPF
229,231,Clara Ribeiro,None,Feminino,1999-09-28,069.873.425-47,CPF
230,232,Ana Júlia Lima,None,Feminino,1981-02-14,361.985.047-00,CPF
231,233,Joana Pereira,None,Feminino,2006-02-14,431.956.078-75,CPF
232,234,Thiago Farias,None,Masculino,1956-03-08,351.249.870-14,CPF
233,235,Agatha Carvalho,None,Feminino,1998-06-26,769.451.302-07,CPF
234,236,Raquel Vieira,None,Feminino,1944-10-05,728.495.630-56,CPF
235,237,Cauê da Costa,None,Masculino,1961-05-09,246.719.538-46,CPF
236,238,Emanuel Ferreira,None,Masculino,1993-09-12,847.510.693-57,CPF
237,239,Bernardo Costela,None,Masculino,1952-09-11,801.423.965-24,CPF
238,240,Esther Melo,None,Feminino,1979-07-20,865.793.024-29,CPF
239,241,Gustavo Henrique Cavalcanti,None,Masculino,1975-10-09,348.509.762-47,CPF
240,242,Emanuel Duarte,None,Masculino,1992-02-28,924.651.708-30,CPF
241,243,Sarah Barbosa,None,Feminino,1997-01-25,045.216.839-24,CPF
242,244,Lavínia Pereira,None,Feminino,1981-10-04,149.305.876-20,CPF
243,245,Lívia Teixeira,None,Feminino,1971-09-30,463.817.520-17,CPF
244,246,Yago Gonçalves,None,Masculino,1945-11-15,805.746.392-92,CPF
245,247,Ian da Cunha,None,Masculino,1995-06-29,795.604.813-39,CPF
246,248,Alexia Azevedo,None,Feminino,1971-07-08,026.483.591-33,CPF
247,249,Ana Vitória Aragão,None,Feminino,1965-03-11,254.837.609-56,CPF
248,250,Henrique Peixoto,None,Masculino,1957-07-12,265.374.018-44,CPF
249,251,Melissa Sales,None,Feminino,1997-11-05,416.739.825-73,CPF
250,252,Sophia Jesus,None,Feminino,1935-10-31,275.043.891-88,CPF
251,253,Ana Laura Caldeira,None,Feminino,1993-07-20,409.728.156-94,CPF
252,254,Pedro Miguel Aragão,None,Masculino,1943-02-12,869.435.027-00,CPF
253,255,Sophie Jesus,None,Feminino,1990-01-07,048.657.312-53,CPF
254,256,Noah Cavalcanti,None,Masculino,1978-05-30,064.517.938-84,CPF
255,257,Matheus Peixoto,None,Masculino,1974-05-11,609.348.125-51,CPF
256,258,Ana Lívia Caldeira,None,Feminino,1957-12-09,821.459.706-49,CPF
257,259,Daniel Freitas,None,Masculino,1960-09-14,921.074.386-50,CPF
258,260,Raquel da Rosa,None,Feminino,1935-07-09,764.098.253-74,CPF
259,261,Isis Monteiro,None,Feminino,2002-01-25,310.879.245-88,CPF
260,262,Pedro Henrique Gonçalves,None,Masculino,1949-02-05,017.834.962-31,CPF
261,263,André Silveira,None,Masculino,1939-02-20,082.174.956-02,CPF
262,264,Luna da Costa,None,Feminino,1935-10-20,152.369.408-42,CPF
263,265,Lívia Silveira,None,Feminino,1992-02-11,506.281.497-94,CPF
264,266,Renan Cunha,None,Masculino,1950-05-24,703.689.512-86,CPF
265,267,Paulo Cunha,None,Masculino,2005-06-07,871.609.425-58,CPF
266,268,Miguel Cardoso,None,Masculino,1991-11-23,320.816.957-40,CPF
267,269,Ryan Teixeira,None,Masculino,1942-09-18,718.930.624-22,CPF
268,270,Davi Silveira,None,Masculino,1939-09-29,615.872.439-46,CPF
269,271,Vicente Farias,None,Masculino,1951-09-14,029.643.178-87,CPF
270,272,Davi Luiz Barros,None,Masculino,1974-07-07,251.479.638-55,CPF
271,273,Pietro Freitas,None,Masculino,1975-08-31,157.984.236-46,CPF
272,274,João Gabriel da Rosa,None,Masculino,1989-05-15,259.870.134-88,CPF
273,275,Danilo Carvalho,None,Masculino,1951-09-28,349.168.507-93,CPF
274,276,Raquel Mendes,None,Feminino,1962-04-08,215.937.468-73,CPF
275,277,Joana Rodrigues,None,Feminino,1943-04-15,275.869.043-83,CPF
276,278,Benjamin Azevedo,None,Masculino,1969-06-21,061.352.849-24,CPF
277,279,Ana Lívia Rocha,None,Feminino,1999-07-10,902.641.538-98,CPF
278,280,Rafael Rodrigues,None,Masculino,2004-05-24,751.263.894-91,CPF
279,281,Alexia Oliveira,None,Feminino,1941-05-05,231.568.947-37,CPF
280,282,Danilo da Mata,None,Masculino,1947-11-17,423.107.895-50,CPF
281,283,Milena Vieira,None,Feminino,1977-09-06,835.207.946-83,CPF
282,284,Anthony Fogaça,None,Masculino,1951-01-14,245.806.971-11,CPF
283,285,Vitor Hugo Cardoso,None,Masculino,1991-10-28,961.730.458-93,CPF
284,286,Brenda da Cruz,None,Feminino,1977-12-08,867.421.539-46,CPF
285,287,Marina da Mata,None,Feminino,1954-08-22,387.156.240-80,CPF
286,288,Leonardo Cardoso,None,Masculino,2003-09-07,802.194.567-20,CPF
287,289,Luiz Otávio Moreira,None,Masculino,2006-07-28,816.079.423-13,CPF
288,290,Laís Jesus,None,Feminino,1986-10-05,567.420.831-07,CPF
289,291,Ana Clara Castro,None,Feminino,1970-12-24,098.673.451-93,CPF
290,292,Eduardo Costa,None,Masculino,1958-05-29,076.854.913-20,CPF
291,293,Stella Pires,None,Feminino,1960-02-04,645.293.178-46,CPF
292,294,Caio Sales,None,Masculino,1953-04-26,340.527.198-32,CPF
293,295,Marina da Paz,None,Feminino,1942-06-15,501.439.862-60,CPF
294,296,João Miguel Mendes,None,Masculino,1937-11-15,693.804.215-24,CPF
295,297,Raquel Silveira,None,Feminino,1959-07-07,851.723.694-73,CPF
296,298,Luiz Miguel Teixeira,None,Masculino,1965-08-26,709.431.268-78,CPF
297,299,Luiz Gustavo Melo,None,Masculino,1999-04-15,810.372.945-05,CPF
298,300,Maria Fernanda Costa,None,Feminino,1953-09-27,760.859.321-03,CPF
299,301,Ana Beatriz Alves,None,Feminino,1999-04-10,465.980.137-39,CPF
300,302,Samuel Cunha,None,Masculino,2003-09-08,751.823.940-04,CPF
301,303,João Felipe Correia,None,Masculino,1938-10-31,514.803.297-97,CPF
302,304,Alexandre Duarte,None,Masculino,1973-09-19,351.064.798-00,CPF
303,305,Ana Luiza Moura,None,Feminino,1994-11-09,975.048.613-75,CPF
304,306,Vicente Ramos,None,Masculino,1984-10-04,241.987.630-03,CPF
305,307,Juan Costela,None,Masculino,2005-01-16,537.241.960-16,CPF
306,308,Luiz Felipe Campos,None,Masculino,1973-08-07,194.830.726-03,CPF
307,309,Vinicius Sales,None,Masculino,1989-10-11,473.869.021-31,CPF
308,310,Vitor Ramos,None,Masculino,1961-02-07,187.365.209-77,CPF
309,311,Maria Sophia Teixeira,None,Feminino,1942-05-01,752.168.094-49,CPF
310,312,Kaique da Mata,None,Masculino,1983-01-14,210.739.865-86,CPF
311,313,Raquel Lopes,None,Feminino,2005-01-15,480.961.325-98,CPF
312,314,Marina Rocha,None,Feminino,1951-10-27,984.153.670-66,CPF
313,315,Bryan da Mata,None,Masculino,2004-09-01,861.432.950-42,CPF
314,316,João Vitor Barros,None,Masculino,1957-09-05,150.623.489-51,CPF
315,317,Lucas Gabriel Alves,None,Masculino,1973-01-04,139.865.407-84,CPF
316,318,Juliana Silva,None,Feminino,1981-10-30,574.610.893-66,CPF
317,319,Ana Vitória Pires,None,Feminino,1993-06-06,157.389.062-68,CPF
318,320,Amanda Caldeira,None,Feminino,1953-02-13,951.204.638-51,CPF
319,321,Ana Sophia Moraes,None,Feminino,2001-05-25,859.276.014-30,CPF
320,322,Ana Sophia Alves,None,Feminino,1996-12-02,654.829.170-02,CPF
321,323,Maria Eduarda Oliveira,None,Feminino,2001-11-10,280.679.453-65,CPF
322,324,Alice Dias,None,Feminino,1942-07-03,739.015.246-06,CPF
323,325,Beatriz Costela,None,Feminino,1948-06-01,173.960.482-22,CPF
324,326,Rafaela Lima,None,Feminino,1943-03-28,918.240.563-89,CPF
325,327,Gustavo Henrique da Cunha,None,Masculino,1940-01-06,418.260.379-69,CPF
326,328,Luiz Otávio Correia,None,Masculino,1998-01-15,130.247.659-99,CPF
327,329,Breno Rezende,None,Masculino,1998-08-12,123.647.809-69,CPF
328,330,Joaquim Lopes,None,Masculino,1942-08-02,856.317.049-00,CPF
329,331,Pedro Henrique Porto,None,Masculino,1969-07-17,570.496.231-99,CPF
330,332,Kevin Peixoto,None,Masculino,1949-02-06,520.874.196-20,CPF
331,333,Helena Porto,None,Feminino,1975-10-06,102.348.765-90,CPF
332,334,Nicolas Cavalcanti,None,Masculino,1971-11-11,863.740.921-04,CPF
333,335,Maria Vitória Nascimento,None,Feminino,1953-04-17,980.756.321-68,CPF
334,336,Camila Barbosa,None,Feminino,1948-08-23,045.826.137-80,CPF
335,337,Augusto Nogueira,None,Masculino,1978-11-06,617.492.803-96,CPF
336,338,Lorenzo Lopes,None,Masculino,1991-10-09,582.976.043-65,CPF
337,339,Isabelly Melo,None,Feminino,1942-11-16,279.365.840-56,CPF
338,340,Marcelo Moraes,None,Masculino,1951-01-15,548.197.032-50,CPF
339,341,Stephany Aragão,None,Feminino,1989-01-11,084.631.572-62,CPF
340,342,Calebe Alves,None,Masculino,1996-03-30,638.109.427-31,CPF
341,343,Thiago Azevedo,None,Masculino,1939-11-14,356.128.079-02,CPF
342,344,Lucca da Mata,None,Masculino,1998-08-30,360.795.142-06,CPF
343,345,Nicolas Monteiro,None,Masculino,1990-04-25,875.340.169-75,CPF
344,346,Juliana da Rosa,None,Feminino,1988-07-14,170.348.592-05,CPF
345,347,Daniel Barros,None,Masculino,1950-04-01,826.140.573-71,CPF
346,348,Pietra Lima,None,Feminino,1982-10-11,894.572.163-00,CPF
347,349,Maria Julia Pinto,None,Feminino,1944-04-22,296.310.758-77,CPF
348,350,Kevin Dias,None,Masculino,1951-01-18,623.817.409-96,CPF
